id;nama_pakaian;categories;type
1;Details Bow Front Blazer Wanita - PASTEL GREEN;women;topwear
2;Connexion Blazer Crop Lengan Panjang Wanita - KHAKI;women;topwear
3;Connexion Blouse Vn Dropshoulder Livaeco - OLIVE;women;topwear
4;Connexion Blouse Raglan Lengan Pendek - KHAKI;women;topwear
5;Details Blouse Lengan Pendek Baloon Wide - Pink Lemonade;women;topwear
6;Connexion Mom Blouse Raglan - BLACK;women;topwear
7;Nevada Kaos Kaki Ballet Penguin - MISTY LGHT GREY;women;bottomwear
8;Nevada Kaos Kaki Motif Anchor - KHAKI;women;bottomwear
9;Nevada Kaus Kaki Hidden Panda - WHITE;women;bottomwear
10;Nevada Socks Ankle Cross Pattern - PEPPERMINT;women;bottomwear
11; Nevada Kaos Kaki Ballet Stripe - DUSTY PINK;women;bottomwear
12; Nevada Kaos Kaki Ankle Solid - FUSCHIA;women;bottomwear
13;Nevada Kaus Kaki Ballet Stripe - DARK GREY;women;bottomwear
14;Annisa Hijab Premium Flowery - PASTEL BLUE;women ;topwear
15;Annisa Hijab Premium Big Flowery - PASTEL GREEN;women;topwear
16;Annisa Hijab Premium Flowery - MAROON;women;topwear
17;Annisa Hijab Premium Big Flowery Lily - KHAKI;women;topwear
18;Pipiniko Celana Pendek Fp Tie Dye - PASTEL PINK;women;bottomwear
19;Connexion Slipper Sandals Wanita Yqs - ASSORTIVE COLOR;women;bottomwear
20;Dust Overall Nuansa - CREAM;women;topwear
21;Connexion Mom Mini Dress Lengan Pendek Rayon - MISTY DARK BROWN;women;top&bottom wear
22;Connexion Mini Dress Lengan Panjang Collar With Belt - CACTUS GREEN;women;top&bottom wear
23;Eprise Yasmine Haifa Kaftan - SILVER;women;top&bottom wear
24;Eprise Yasmine Kila Gamis - BROWN;women;top&bottom wear
25;Eprise Yasmine Nafa Gamis - BROWN;women;top&bottom wear
26;Dust Blouse Ariani - ORANGE;women;topwear
27;Nevada Kemeja Lengan Panjang Oversize Check - BROWN SUGAR;women;topwear
28;Details Kaos Lengan Pendek Wanita With String At Front Waist - BLACK;women;topwear
29;Disney Looney Tunes Kaos Casual - WHITE;women;topwear
30;Connexion Celana Pendek Linen With Side Pockets - BLACK;women;bottomwear
31;Connexion Celana Pendek Ripple Stripes - KHAKI;women;bottomwear
32;Details Celana Pendek With Elastic Waistband - BLACK;women;bottomwear
33;American Jeans Celana Pendek Mesh Tone On Tone - BLACK;women;bottomwear
34;Nevada Woven Celana Pendek - OLIVE;women;bottomwear
35;Connexion Celana Panjang Bahan Twill Strecth - BLACK;women;bottomwear
36;Connexion Celana Panjang Denim Bottom - DARK DENIM;women;bottomwear
37;Connexion Capri Celana Denim Panjang - CLASSIC RED;women;bottomwear
38;Details Denim Celana Pendek With Destroyed - MEDIUM DENIM;women;bottomwear
39;Connexion Celana Panjang Crop Slim Tie - PINK;women;bottomwear
40;Connexion Celana Panjang Linen Baloon - KHAKI;women;bottomwear
41;Connexion Celana Belted Tailored Trouser - BLACK;women;bottomwear
42;St. Yves Combed Spandek Kaos Wanita - BLACK;women;topwear
43;Connexion Two Pocket Kemeja Tanpa Lengan - CLASSIC GREEN;women;topwear
44;Nevada USA Say Kaos - WHITE;women;topwear
45;Nevada Sepatu Sneakers Carnel - PASTEL GREY;women;bottomwear
46;Nevada Kaos Kaki Ballet Bear Stripe - MISTY DARK GREY;women;bottomwear
47;Creart Concept Elastic Rope Ikat Rambut Wanita - BROWN ORANGE;women;topwear
48;Nevada Celana Pendek Woven Cotton - BLACK;women;bottomwear
49;Nevada Plain Kaus Kaki Ankle - OFF WHITE;women;bottomwear
50;St. Yves Celana Dalam Midi Pack Karet Kembang;women;bottomwear
51;Fladeo Chain Gold Detail Sandal Slide - PINK;women;bottomwear
52;Fladeo Sandal Jelly Slide Buckle - PINK;women;bottomwear
53;Tulip Bra Detail Simple Stripes - CORAL;women;topwear
54;Connexion Blouse Wanita Hai Ryn Hilo - DUSTY PINK;women;topwear
55;Connexion Blouse Lengan Pendek Wanita Ruffle Double Cloth - BLACK;women;topwear
56;Nevada Tanktop Kaos Basic Rib Wanita - PASTEL GREEN;women;topwear
57;Connexion Rok Midi Woven Basic Wanita - NAVY BLUE;women;bottomwear
58;Connexion Capri Crop Celana Panjang Wanita - OLIVE;women;bottomwear
59;Tulip Celana Dalam Wanita 3L Simply - MULTI COLOR;women;bottomwear
60;Tulip Celana Dalam Wanita - MULTI COLOR;women;bottomwear
61;Tulip Panty Basic Celana Dalam Wanita Isi 3 - MULTI COLOR;women;bottomwear
62;Tulip Everyday Comfort Celana Dalam Mi - MULTI COLOR;women;bottomwear
63;Tulip Laceny Basic Bra Non Wire - MAROON;women;topwear
64;Tulip Bra Wanita - RED;women;topwear
65;Nevada OVZ Check Kemeja Wanita - NAVY BLUE;women;topwear
66;Connexion Blouse Wanita Hai Ryn Hilo - OFF WHITE;women;topwear
67;Nevada Celana Pendek Terry Solid Smile - NAVY BLUE;women;bottomwear
68;Annisa Manset Round Neck Inner - BLACK;women;topwear
69;Simplicity Long Wais - GREY;women;top&bottom wear
70;Chic Girl Outer Print - NAVY BLUE;women;topwear
71;MKY Clothing Word Zi  - PINK;women;topwear
72;Nevada Blazer Short Sleeve Shirt - KHAKI;women;topwear
73;C2 Teigra Push Up Skinny - BLUE ;women;bottomwear
74;Novo Culottes Texture Pants - FUSCHIA;women;bottomwear
75;Novo Tied Culottes Pants - BROWN;women;bottomwear
76;Novo Wide Legged Pants -YELLOW;women;bottomwear
77;Connexion Capri Pants Crop Cotton Stretch Elastic Waist - CHARCOAL;women;bottomwear
78;3H Skinny Culotte - OLIVE;women;bottomwear
79;Novo Celana Kulot Panjang With Button - BLACK;women;bottomwear
80;Flamoush Tirzha Baggy Pants - PINK;women;bottomwear
81;Nevada Combed Kaos Basic Pria;men;topwear
82;Nevada Basic Tee Cotton Combed 24S Kaos Lengan Pendek Pria;men;topwear
83;Nevada Jersey Solid Kaus Kerah Pria;men;topwear
84;Cole Henley Pique Kaos Kerah Pria;men;topwear
85;Cole Linen Look Slub Camp Collar Kemeja Lengan Pendek Pria;men;topwear
86;Nevada French Terry Jaket Hoodie Pria;men;topwear
87;Nevada Slim Fit 5 Pocket Texture Celana Panjang Pria;men;bottomwear
88;Nevada Pique TC Kaos Kerah Pria;men;topwear
89;T Zone Pria V Neck Kaos Lengan Pendek;men;topwear
90;T Zone Round Neck Basic Kaos Pria;men;topwear
91;Cole Woven Solid Pullon Celana Pendek Pria;men;bottomwear
92;Cole Celana Pendek Knit Pria;men;bottomwear
93;Cole Celana Bermuda Pria Woven Elastis Drawstring At Hem;men;bottomwear
94;MOC Short Sleeve Shirt Chobaz;men;topwear
95;Emba Classic Latio Long Sleeve Shirt;men;topwear
96;Emba Classic Galen Long Sleeve Shirt;men;topwear
97;Bali Lestari Doby Lengan Pendek;men;topwear
98;Nevada Kimsje Soft Denim;men;bottomwear
99;Cardinal Celana Pendek Bermuda Pria;men;bottomwear
100;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
;;men;
